Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
858,AR/LON/83N06/2022/003,Arunachal Pradesh,Longding,800 m S of Bonia,Longding-Konsa road,26.736494,95.261822,Debris,Slide,NA
859,AR/LON/83N05/2022/002,Arunachal Pradesh,Longding,500 m E of Niausa village,Longding - Konsa road,26.799929,95.309533,Debris,Slide,NA
860,AR/LON/83N05/2022/001,Arunachal Pradesh,Longding,2.5 km SE of Longding,Longding-Khonsa road,26.849624,95.320878,Debris,Slide,NA
861,AR/LON/83N05/2022/005,Arunachal Pradesh,Longding,4 km E of Longding,Longding-Khonsa road,26.87859,95.35234,Debris,Slide,NA
862,AR/LON/83N05/2022/004,Arunachal Pradesh,Longding,1.3 km E of Longding,Longding-Khonsa road,26.881881,95.333027,Debris,Slide,NA
863,AR/TIR/83N09/2022/019,Arunachal Pradesh,Tirap,1.7 km SW of Lazu,Khonsa-Lazu road,26.885896,95.562013,Debris,Slide,NA
864,AR/TIR/83N09/2022/018,Arunachal Pradesh,Tirap,3.5 km N of Sinnu,Khonsa-Lazu road,26.897502,95.542612,Rock,Fall,NA
865,AR/TIR/83N09/2022/017,Arunachal Pradesh,Tirap,3.7 km SE of Sanliam,Khonsa-Lazu road,26.904294,95.549313,Debris,Slide,NA
866,AR/LON/83N05/2022/006,Arunachal Pradesh,Longding,2 km W of Tissa,Longding-Khonsa road,26.904445,95.360399,Debris,Slide,NA
867,AR/TIR/83N09/2022/016,Arunachal Pradesh,Tirap,1.5 km SE of Sanliam,Khonsa-Lazu road,26.919823,95.545421,Debris,Slide,NA
868,AR/LON/83N05/2022/007,Arunachal Pradesh,Longding,2 km NE of Tissa,Longding-Khonsa road,26.925697,95.371448,Debris,Slide,NA
869,AR/TIR/83N05/2022/009,Arunachal Pradesh,Tirap,4 km SW of Pangchau,Longding-Khonsa road,26.93529,95.37696,Debris,Slide,NA
870,AR/TIR/83N05/2022/008,Arunachal Pradesh,Tirap,5 km SW of Pangchau,Longding-Khonsa road,26.936043,95.370996,Debris,Slide,NA
871,AR/TIR/83N09/2022/015,Arunachal Pradesh,Tirap,700m SE of Thinsa,Khonsa-Lazu road,26.939232,95.520994,Debris,Slide,NA
872,AR/TIR/83N05/2022/010,Arunachal Pradesh,Tirap,1.5 SW of Pangchau,Longding-Khonsa road,26.943433,95.385986,Debris,Slide,NA
873,AR/TIR/83N09/2022/014,Arunachal Pradesh,Tirap,1.7 SE of Keti,Khonsa-Lazu road,26.952173,95.519402,Debris,Slide,NA
874,AR/TIR/83N05/2022/011,Arunachal Pradesh,Tirap,300 m SE of Longo,Longding-Khonsa road,26.976731,95.423103,Debris,Slide,NA
875,AR/TIR/83N09/2022/020,Arunachal Pradesh,Tirap,500 m SE of Khonsa,"Khonsa-Changlang road, NH215",26.984318,95.510469,Soil,Slide,NA
876,AR/TIR/83N05/2022/013,Arunachal Pradesh,Tirap,500 m E of Lapnan,Longding-Khonsa road,26.994618,95.486818,Debris,Slide,NA
877,AR/TIR/83N05/2022/012,Arunachal Pradesh,Tirap,1 Km W of Lapnan,Longding-Khonsa road,26.994942,95.474591,Debris,Slide,NA
878,ARN/WK/83A12/2016/01,Arunachal Pradesh,West Kameng,Bhalukpong Circuit House slide,NE of Bhalukpong Helipad,27.018342,92.6356,Debris,Slide,1 July 2016 at 12:20 hrs.
879,AR/WKG/83A12/2021/051,Arunachal Pradesh,West Kameng,Bhalukpong Cicuit House Slide,Bhalukpong Circuit House,27.018583,92.635667,Soil,Slide,NA
880,AR/TIR/83M12/2022/021,Arunachal Pradesh,Tirap,3 km E of Khela,"Khonsa-Changlang road, NH215",27.019379,95.555899,Debris,Slide,NA
881,AR/PP/83E/12/2021/01,Arunachal Pradesh,Papum Pare,N/A,N/A,27.03106,93.62292,Debris/unconsolidated material,Debris slide and subsidence,2020
882,AR/TIR/83M12/2022/022,Arunachal Pradesh,Tirap,Lamsa slide,"Khonsa-Changlang road, NH215",27.032124,95.562208,Soil,Slide,NA
883,AR/TIR/83M12/2022/024,Arunachal Pradesh,Tirap,1.5 km NE of Lamsa,"Khonsa-Changlang road, NH215",27.035069,95.56864,Debris,Slide,NA
884,AP/WK/83E12/2008/A-9,Arunachal Pradesh,West Kameng,Slide at Tippi,,27.035278,92.610556,Rock cum Debris,Slide,2008
885,AR/WKG/83A12/2021/050,Arunachal Pradesh,West Kameng,Tippi Slide,NH 13/ Tippi,27.036111,92.603333,Debris,Flow,NA
886,AR/TIR/83M12/2022/023,Arunachal Pradesh,Tirap,500 m NE of Lamsa,"Khonsa-Changlang road, NH215",27.036339,95.564677,Debris,Slide,NA
887,AR/CHNG/83M12/2022/053,Arunachal Pradesh,Changlang,500 m N of Longkey,Changlang-Khimioyng road,27.039914,95.73282,Debris,Slide,NA
888,AR/CHNG/83M12/2022/052,Arunachal Pradesh,Changlang,1.5 km N of Longkey,Changlang-Khimioyng road,27.043883,95.72822,Debris,Slide,NA
889,AR/TIR/83M12/2022/025,Arunachal Pradesh,Tirap,4.7 km S of Natun Kheti,"Khonsa-Changlang road, NH215",27.046252,95.592084,Debris,Slide,NA
890,AR/CHNG/83M12/2022/051,Arunachal Pradesh,Changlang,2.7km SE of Yanman,Changlang-Khimioyng road,27.047848,95.729657,Debris,Slide,NA
891,AR/CHNG/83M12/2022/050,Arunachal Pradesh,Changlang,Yanman slide,Changlang-Khimioyng road,27.057191,95.716883,Debris,Slide,NA
892,AR/CHNG/83M12/2022/049,Arunachal Pradesh,Changlang,500m NE of Yanman,Changlang-Khimioyng road,27.0611,95.721024,Debris,Slide,NA
893,AR/TIR/83M12/2022/026,Arunachal Pradesh,Tirap,200 m S of Katang,"Khonsa-Changlang road, NH215",27.061845,95.614212,Debris,Slide,NA
894,AR/WKA/83A12/2014/23,Arunachal Pradesh,West Kameng,NH-13,,27.06658,92.59572,Debris,Slide,2013
895,AR/CHNG/83M12/2022/048,Arunachal Pradesh,Changlang,2km NE of Yanman,Changlang-Khimioyng road,27.068358,95.725306,Debris,Slide,NA
896,AR/TIR/83M12/2022/027,Arunachal Pradesh,Tirap,400m S of Lanwang,"Khonsa-Changlang road, NH215",27.072206,95.634021,Rock,Slide,NA
897,AR/TIR/83M12/2022/042,Arunachal Pradesh,Tirap,1.5 km SE of Lanwang,"Khonsa-Changlang road, NH215",27.074431,95.638118,Debris,Slide,NA
898,AP/PP/83E12/2008/A-1,Arunachal Pradesh,Papum Pare,Slide at Vivekvihar,,27.078472,93.605639,NA,Slide,2008
899,AR/TIR/83M12/2022/041,Arunachal Pradesh,Tirap,1 km NE of Lanwang,"Khonsa-Changlang road, NH215",27.079176,95.638023,Rock,Slide,NA
900,ARN/Papumpare/83E12/2020/01,Arunachal Pradesh,Papum Pare,N/A,N/A,27.08130556,93.61283333,Unconsolidated rock debris and sandy soil.,Translation (Debris flow),25 June 2020
901,AR/PP/83E/12/2018/04,Arunachal Pradesh,Papum Pare,N/A,N/A,27.08155,93.61438,Debris/unconsolidated material,Debris slide,NA
902,AR/TIR/83M12/2022/040,Arunachal Pradesh,Tirap,1.5km NE of Lanwang,"Khonsa-Changlang road, NH215",27.083054,95.639328,Debris,Slide,NA
903,AR/83E/12/2021/03,Arunachal Pradesh,Papum Pare,N/A,N/A,27.083117,93.601735,Debris and unconsolidated material,Debris slide,NA
904,AR/WKG/83A12/2021/001,Arunachal Pradesh,West Kameng,NH 13 Slide 1,NH 13/ SW of Elephant Flat,27.086139,92.584361,Debris,Slide,NA
905,AP/WK/83E12/2008/A-10,Arunachal Pradesh,West Kameng,Slide at 10km SE of Sessa Village,,27.086667,92.585278,Debris,,2008
906,AP/PAP/83E12/2021/18,Arunachal Pradesh,Papum Pare,Papu nala slide,Near Papu nala,27.088278,93.66925,Debris,Slide,NA
907,AR/CHNG/83M12/2022/047,Arunachal Pradesh,Changlang,Bubang slide,Changlang-Khimioyng road,27.089394,95.729849,Debris,Slide,NA
908,AP/PP/83E12/2008/A-4,Arunachal Pradesh,Papum Pare,Slide at Abotany Vihar,,27.091139,93.615667,Rock cum Debris,Slide,2008
909,AR/WKG/83A12/2021/057,Arunachal Pradesh,West Kameng,Pinjori-Kimi Road Slide 6,Pinjori-Kimi Road,27.092028,92.597028,Rock,Slide,NA
910,AR/CHNG/83M12/2022/046,Arunachal Pradesh,Changlang,200 S of Bubang,Changlang-Khimioyng road,27.093755,95.731806,Rock,slide,NA
911,AP/WK/83E12/2008/A-11,Arunachal Pradesh,West Kameng,Slide at 15km SE of Sessa Village,,27.093889,92.591389,Debris,,2008
912,AP/PP/83E12/2008/A-2,Arunachal Pradesh,Papum Pare,Slide at Nitivihar,,27.095278,93.615694,NA,Slide,2008
913,AR/83E/12/2021/2,Arunachal Pradesh,Papum Pare,N/A,N/A,27.09589,93.62284,Debris/unconsolidated materials,Debris slide,NA
914,AR/TIR/83M12/2022/039,Arunachal Pradesh,Tirap,1.5 m W of Jadthungthong,"Khonsa-Changlang road, NH215",27.095969,95.634872,Debris,Slide,NA
915,AR/WKG/83A12/2021/052,Arunachal Pradesh,West Kameng,Pinjori-Kimi Road Slide 1,Pinjori-Kimi Road,27.099083,92.626306,Debris,Slide,NA
916,AR/TIR/83M12/2022/038,Arunachal Pradesh,Tirap,500 m W of Jadthungthong,"Khonsa-Changlang road, NH215",27.099707,95.641075,Rock,Slide,NA
917,AP/PP/83E12/2008/A-3,Arunachal Pradesh,Papum Pare,Slide at lower Nitivihar (inquiry point),,27.101111,93.619222,Rock cum Debris,Slide,2008
918,AR/83E/12/2018/06,Arunachal Pradesh,Papum Pare,N/A,N/A,27.10215,93.61371,Debris/unconsolidated material,Debris slide,NA
919,AR/TIR/83M12/2022/037,Arunachal Pradesh,Tirap,Jadthungithong slide,"Khonsa-Changlang road, NH215",27.102163,95.644694,Rock,Slide,NA
920,AR/APTIR/83M12/2022/108,Arunachal Pradesh,Tirap,800 m W of Lainwang,"Khonsa-Changlang road, NH215",27.102625,95.645631,Rock,Slide,NA
921,AP/PAP/83E12/2021/4,Arunachal Pradesh,Papum Pare,NE of Itanagar slide 1,NE of Itanagar,27.102944,93.640417,Debris,Slide,NA
922,AP/PAP/83E12/2021/5,Arunachal Pradesh,Papum Pare,NE of Itanagar slide 2,NE of Itanagar,27.103069,93.641778,Debris,Slide,NA
923,AP/PAP/83E12/2021/1,Arunachal Pradesh,Papum Pare,"500 m east of Bidyut Bhavan, Itanagar","Bidyut Bhavan, Itanagar",27.103111,93.634019,Debris,Slide,NA
924,AP/PAP/83E12/2021/3,Arunachal Pradesh,Papum Pare,NE of Bidyut Bhavan slide 2,NE of Bidyut Bhavan,27.103444,93.638722,Debris,Slide,NA
925,AR/WKG/83A12/2021/053,Arunachal Pradesh,West Kameng,Pinjori-Kimi Road Slide 2,Pinjori-Kimi Road,27.103639,92.76025,Rock,Slide,NA
926,AR/83E/12/2021/05,Arunachal Pradesh,Papum Pare,N/A,N/A,27.10375,93.61529,Debris /unconsolidated material,Debris slide,"2020,2021"
927,AP/PAP/83E12/2021/2,Arunachal Pradesh,Papum Pare,NE of Bidyut Bhavan slide 1,"Bidyut Bhavan, Itanagar",27.103944,93.637611,Debris,Slide,NA
928,AR/WKG/83A12/2021/004,Arunachal Pradesh,West Kameng,East of Sessa Slide 2,NH 13/ E of Sessa,27.105083,92.555222,Debris,Slide,NA
929,AR/WKG/83A12/2021/003,Arunachal Pradesh,West Kameng,East of Sessa Slide 1,N130? of NH 13/ E of Sessa,27.1055,92.556278,Debris,Slide,NA
930,AP/PP/83E12/2008/A-7,Arunachal Pradesh,Papum Pare,"Slide at E-Sector, Police Colony, Naharlagun",,27.105556,93.699722,Debris,Slide,2008
931,AR/TIR/83M12/2022/036,Arunachal Pradesh,Tirap,200m E of Kolagaon,"Khonsa-Changlang road, NH215",27.105748,95.654176,Rock,Slide,NA
932,AP/PP/83E12/2008/A-5,Arunachal Pradesh,Papum Pare,Slide at Shiv Mandir,,27.106472,93.663889,Rock cum Debris,Slide,2008
933,AP/PAP/83E12/2021/6,Arunachal Pradesh,Papum Pare,NE of Itanagar slide 3,NE of Itanagar,27.106722,93.660111,Debris,Slide,NA
934,AR/WKG/83A12/2021/002,Arunachal Pradesh,West Kameng,NH 13 Slide 2,NH 13/ NW of Elephant Flat,27.106939,92.573544,Debris,Slide,NA
935,ARN/PAP/83E11/2017/03,Arunachal Pradesh,Papum Pare,6 kilo,NH- 415,27.10736,93.64975,Debris,Slide,2017
936,AR/WKG/83A12/2021/048,Arunachal Pradesh,West Kameng,NH 13 Slide 33,NH 13/ Sedal,27.1105,92.537444,Debris,Slide,NA
937,AP/PP/83E12/2008/A-6,Arunachal Pradesh,Papum Pare,Slide at Naharlagun nala,,27.112222,93.694444,NA,Flow,2008
938,AR/CHNG/83M12/2022/045,Arunachal Pradesh,Changlang,1 Km SE of Negchang,Changlang-Khimioyng road,27.112268,95.736125,Rock,Slide,NA
939,AR/WKG/83A12/2021/046,Arunachal Pradesh,West Kameng,Seppa Road Slide 7,Seppa Road Section,27.112694,92.543472,Debris,Slide,NA
940,AR/WKG/83A12/2021/005,Arunachal Pradesh,West Kameng,NH 13 Slide 3,NH 13,27.11375,92.537583,Debris,Slide,NA
941,AR/CHNG/83M12/2022/035,Arunachal Pradesh,Changlang,200m E of Kangkho,"Khonsa-Changlang road, NH215",27.115246,95.670965,Debris,Slide,NA
942,AR/CHNG/83M12/2022/043,Arunachal Pradesh,Changlang,500 m SE of Negchang,Changlang-Khimioyng road,27.115545,95.733337,Rock,Slide,NA
943,AR/WKG/83A12/2021/054,Arunachal Pradesh,West Kameng,Pinjori-Kimi Road Slide 3,Pinjori-Kimi Road,27.115694,92.763028,Rock,Slide,NA
944,AR/CHNG/83M12/2022/044,Arunachal Pradesh,Changlang,700 m SE of Negchang,Changlang-Khimioyng road,27.11587,95.733019,Rock,Fall,NA
945,AR/WKG/83A12/2021/047,Arunachal Pradesh,West Kameng,NH 13 Slide 32,NH 13/ Sedal,27.116194,92.543111,Debris,Slide,NA
946,AR/CHNG/83M12/2022/034,Arunachal Pradesh,Changlang,400m NE of Kangkho,"Khonsa-Changlang road, NH215",27.116625,95.669825,Debris,Slide,NA
947,AR/CHNG/83M12/2022/032,Arunachal Pradesh,Changlang,800m W of Yankang,"Khonsa-Changlang road, NH215",27.122408,95.678718,Debris,Slide,NA
948,AR/CHNG/83M12/2022/033,Arunachal Pradesh,Changlang,Yankang slide,"Khonsa-Changlang road, NH215",27.122872,95.672546,Debris,Slide,NA
949,AP/PAP/83E12/2021/7,Arunachal Pradesh,Papum Pare,Naharlagun slide 1,NE of Naharlagun,27.123139,93.702139,Debris,Slide,NA
950,AP/PP/83E12/2008/A-8,Arunachal Pradesh,Papum Pare,Slide at Nirijuli,,27.124444,93.742222,NA,Creep,2008
951,AR/CHNG/83M12/2022/099,Arunachal Pradesh,Changlang,200m SE of Salang,Changlang-New Changalang road,27.125767,95.745585,Debris,Slide,NA
952,ARN/PAP/83E11/2017/02,Arunachal Pradesh,Papum Pare,Nirjuli,NH- 415,27.1275,93.73164,Debris,Slide,2017
953,ARN/PAP/83E11/2017/04,Arunachal Pradesh,Papum Pare,2 kilo,NH- 415,27.1275,93.73164,Debris,Slide,2017
954,AP/PAP/83E12/2021/8,Arunachal Pradesh,Papum Pare,Naharlagun slide 2,Near Naharlagun,27.128972,93.705333,Debris,Slide,NA
955,AR/CHNG/83M12/2022/031,Arunachal Pradesh,Changlang,1 km N of Yankang,"Khonsa-Changlang road, NH215",27.12922,95.684101,Debris,Slide,NA
956,AR/CHNG/83M12/2022/029,Arunachal Pradesh,Changlang,Yatdam slide,"Khonsa-Changlang road, NH215",27.131129,95.689613,Debris,Slide,NA
957,AR/CHNG/83M12/2022/030,Arunachal Pradesh,Changlang,500 m S of Saban-Wawoi,"Khonsa-Changlang road, NH215",27.132794,95.687302,Debris,Slide,NA
958,AR/CHNG/83M12/2022/028,Arunachal Pradesh,Changlang,600 m West of Simnom,"Khonsa-Changlang road, NH215",27.132933,95.709803,Debris,Slide,NA
959,AR/WKG/83A12/2021/055,Arunachal Pradesh,West Kameng,Pinjori-Kimi Road Slide 4,Pinjori-Kimi Road,27.134444,92.599611,Debris,Slide,NA
960,Arn/ Papum Pare /83E/12/2020/02,Arunachal Pradesh,Papum Pare,N/A,N/A,27.13469444,93.74347222,Unconsolidated rock debris and sandy soil.,Translation (Debris flow),NA
961,AR/CHNG/83M12/2022/109,Arunachal Pradesh,Changlang,300 N of Changlang,"NH-215, Changlang-Margherita raod",27.143343,95.743034,Debris,Slide,NA
962,AR/CHNG/83M12/2022/054,Arunachal Pradesh,Changlang,500 N of Changlang,Changlang-Margherita road (NH215),27.1448,95.742566,Debris,Slide,NA
963,AR/WKG/83A12/2021/056,Arunachal Pradesh,West Kameng,Pinjori-Kimi Road Slide 5,Pinjori-Kimi Road,27.148056,92.613889,Debris,Slide,NA
964,AR/CHNG/83M12/2022/101,Arunachal Pradesh,Changlang,200m S of Rangran,Changlang-New Changalang road,27.150127,95.780208,Debris,Slide,NA
965,AR/WKG/83A12/2021/006,Arunachal Pradesh,West Kameng,NH 13 Slide 4,NH 13,27.152417,92.561778,Debris,Slide,NA
966,AR/WKG/83A12/2021/007,Arunachal Pradesh,West Kameng,NH 13 Slide 5,NH 13,27.153056,92.56175,Debris,Slide,NA
967,AR/CHNG/83M12/2022/100,Arunachal Pradesh,Changlang,500m Swof Rangran,Changlang-New Changalang road,27.153826,95.77545,Debris,Slide,NA
968,AR/CHNG/83M16/2022/106,Arunachal Pradesh,Changlang,1 km NE of Amchung,Changlang-Kengkhu road,27.15844,95.755292,Debris,Slide,NA
969,AR/CHNG/83M16/2022/107,Arunachal Pradesh,Changlang,600m NE of Amchung,Changlang-Kengkhu road,27.158837,95.750303,Debris,Slide,NA
970,AP/PAP/83E12/2021/9,Arunachal Pradesh,Papum Pare,Naharlagun Railway station slide 1,NE Naharlagun Railway station,27.16,93.739167,Debris,Slide,NA
971,AR/CHNG/83M16/2022/105,Arunachal Pradesh,Changlang,1.4 NE of Amchung,Changlang-Kengkhu road,27.160065,95.754919,Rock,Fall,NA
972,AP/EK/83E03/2021/39,Arunachal Pradesh,East Kameng,NH-31 slide-28,NH-36,27.161806,93.136194,Earth,Slide,NA
973,AR/CHNG/83M16/2022/103,Arunachal Pradesh,Changlang,2.2 km NE of Amchung,Changlang-Kengkhu road,27.161858,95.757717,Debris,Slide,NA
974,AR/CHNG/83M16/2022/104,Arunachal Pradesh,Changlang,1.8 km NE of Amchung,Changlang - Kengkhu road,27.163084,95.754775,Debris,Slide,NA
975,AR/CHNG/83M16/2022/055,Arunachal Pradesh,Changlang,"200 m N of Army, Changlang",Changlang-Margherita road (NH215),27.163388,95.746685,Debris,Slide,NA
976,AP/PAP/83E16/2021/11,Arunachal Pradesh,Papum Pare,Doimukh petrol pump slide,Doimukh petrol pump,27.163556,93.752306,Debris,Slide,NA
977,AP/PAP/83E12/2021/10,Arunachal Pradesh,Papum Pare,Naharlagun Railway station slide 2,NE Naharlagun Railway station,27.165806,93.751167,Debris,Slide,NA
978,AR/WKG/83A12/2021/041,Arunachal Pradesh,West Kameng,Seppa Road Slide 2,Seppa Road Section,27.166306,92.587139,Debris,Slide,NA
979,AR/WKG/83A12/2021/040,Arunachal Pradesh,West Kameng,Seppa Road Slide 1,Seppa Road Section,27.167139,92.587917,Debris,Slide,NA
980,AR/CHNG/83M16/2022/102,Arunachal Pradesh,Changlang,Near Army camp,"NH-215, Changlang-Marigrehta road",27.172066,95.754546,Debris,Slide,NA
981,AR/CHNG/83M16/2022/056,Arunachal Pradesh,Changlang,1.6km SE of Simran New Thamlom,Changlang-Margherita road (NH215),27.175606,95.749935,Debris,Slide,NA
982,AP/EK/83E04/2021/31,Arunachal Pradesh,East Kameng,NH-31 slide-21,NH-35,27.177667,93.148694,Soil,Slide,NA
983,AP/EK/83E04/2021/32,Arunachal Pradesh,East Kameng,NH-31 slide-22,NH-35,27.177667,93.148694,Soil,Slide,NA
984,AP/EK/83E03/2021/33,Arunachal Pradesh,East Kameng,NH-31 slide-23,NH-35,27.177667,93.148694,Soil,Slide,NA
985,AP/EK/83E03/2021/34,Arunachal Pradesh,East Kameng,NH-31 slide-24,NH-35,27.177667,93.148694,Soil,Slide,NA
986,AP/EK/83E03/2021/35,Arunachal Pradesh,East Kameng,NH-31 slide-25,NH-35,27.177667,93.148694,Soil,Slide,NA
987,AP/EK/83E03/2021/36,Arunachal Pradesh,East Kameng,NH-31 slide-26,NH-35,27.177667,93.148694,Soil,Slide,NA
988,AP/EK/83E03/2021/37,Arunachal Pradesh,East Kameng,NH-31 slide-27,NH-35,27.177667,93.148694,Soil,Slide,NA
989,AP/EK/83E03/2021/38,Arunachal Pradesh,East Kameng,NH-31 slide-28,NH-35,27.177667,93.148694,Soil,Slide,NA
990,AR/CHNG/83M12/2022/057,Arunachal Pradesh,Changlang,1.2km W of Simran New Thamlom,Changlang-Margherita road (NH215),27.178695,95.735218,Rock,Fall,NA
991,AR/WKG/83A12/2021/042,Arunachal Pradesh,West Kameng,Seppa Road Slide 3,Seppa Road Section,27.182278,92.599889,Debris,Slide,NA
992,AR/WKG/83A12/2021/043,Arunachal Pradesh,West Kameng,Seppa Road Slide 4,Seppa Road Section,27.183833,92.599333,Debris,Slide,NA
993,AR/CHNG/83M12/2022/058,Arunachal Pradesh,Changlang,200m N of Thamsung,Changlang-Margherita road (NH215),27.187767,95.732008,Debris,Slide,NA
994,AR/CHNG/83M12/2022/060,Arunachal Pradesh,Changlang,600m S of Nagoithong,Changlang-Margherita road (NH215),27.188551,95.703582,Debris,Slide,NA
995,AP/EK/83E04/2021/30,Arunachal Pradesh,East Kameng,NH-31 slide-20,NH-34,27.188694,93.136056,Rock,Fall,NA
996,AR/CHNG/83M12/2022/059,Arunachal Pradesh,Changlang,1.5km SW of Thingdang,Changlang-Margherita road (NH215),27.190295,95.716317,Rock,Rock fall,NA
997,AR/WKG/83A12/2021/044,Arunachal Pradesh,West Kameng,Seppa Road Slide 5,Seppa Road Section,27.190861,92.607806,Debris,Slide,NA
